site_code,year,total_phosphorus_tsi,chlorophyll_a_tsi,secchi_depth_tsi,tsi_mean
EH-HENLOL050,2002,57.9,NA,NA,57.9
EH-HENLOL040,2025,52.7,56.9,NA,54.8
EH-HENLOL030,2025,48.7,50.7,NA,49.7
EH-TOTSUL010,2025,32.2,33.1,NA,32.7
EH-DESHEL010,1992,45.6,41.4,NA,43.5
EH-DESWAL000,2023,35.4,NA,38.4,36.9
EH-DESCHL010,1992,61.1,63.9,65.2,63.4
EH-DESCHL020,1992,49.2,43.5,57.4,50
EH-BUDBLL020,2025,45.2,59.1,NA,52.2
EH-BUDBLL010,1994,49.2,65.8,51.3,55.4
EH-DESMCL000,1994,65.8,56.3,51.2,57.8
EH-BLADEL000,2021,39.1,38.8,41,39.6
EH-NISELL000,1995,51.1,53.4,43.7,49.4
EH-NISSTL010,2025,36.9,44.9,NA,40.9
EH-NISSTL020,2025,32.9,37.8,NA,35.3
EH-HENHIL000,2023,38.4,NA,42.4,40.4
EH-HENNPL010,2025,45.2,53.4,NA,49.3
EH-HENSPL010,2025,62.3,63.6,NA,63
EH-NISCLL010,2025,69.6,67.6,NA,68.6
EH-BUDCAL020,1996,49.7,47.5,49,48.7
EH-DESOFL010,2025,51.8,53.7,NA,52.8
EH-DESLAL020,2025,50.6,64,NA,57.3
EH-BUDCAL005,2014,53.8,55,51.8,53.5
EH-BUDCAL015,2014,52.2,40.6,46.6,46.5
EH-BUDCAL040,2006,64.5,51.5,51.9,56
EH-BUDCAL022,2004,52.8,39.8,NA,46.3
EH-BUDCAL000,2007,58,61.4,54.1,57.8
EH-BUDBNL010,2016,67.4,58,52.8,59.4
EH-DESLAL030,2025,62.5,66.3,NA,64.4
EH-HENLOL010,2021,NA,NA,54.3,54.3
EH-DESHEL001,1991,NA,NA,43.4,43.4
EH-HENLOL044,2005,57.9,NA,NA,57.9
